"Bob Bobo" <bob.4@wright.edu>
"Kathy Cat" <cat.123@ohio.edu>
"John Jangle" <jangle.12@not.edu>
"Kay Dun" <kay.dun@wright.edu>
"John Carter" <carter.87@wright.edu>
"Bill Nye" <nye.42@space.edu>
"John Jacob" <jacob.89@wright.edu>
"Sarah Connor" <connor.99@wright.edu>
"James Holden" <holden.98@space.edu>
"Todd Tavern" <tavern.23@bar.com>
"James Pumpkin" <pumpkin@farm.com>
"Casey Abrams" <casey.abrams@wright.edu>
"Commander Zavala" <zavala@indeed.com>
"Steven Hawkings" <hawkings.51@wright.edu>
"Bilbo Baggins" <baggins@shire.com>
"Frodo Baggins" <baggins.2@wright.edu>
"Samwise Gamgee" <gamgee.1@wright.edu>
"Alex Cross" <cross.10@ohio.edu>
"Corey Cares" <cares.12@wright.edu>
"Douglas Adams" <douglas.adams@wright.edu>
